manufacturer,model,type,year,price,mileage,location,transmission,fuel_type,grade,car_condition
Nissan,Maxima,Sedan,2002,738000,199447,C45,automatic,Petrol,C,Nigerian used
Toyota,Corolla,Sedan,2013,2250000,118005,"C45 , Port Harcourt",automatic,Petrol,C,Nigerian used
Toyota,Camry,Sedan,1999,1018000,312041,"C45 , Ibadan",automatic,Petrol,E,Nigerian used
Hyundai,Accent,Sedan,2009,458000,116022,C45,manual,Petrol,E,Nigerian used
Toyota,Rav4,Suv,2008,2586000,179017,"C45 , Abuja",automatic,Petrol,C,Nigerian used
Toyota,Camry,Sedan,2007,2250000,350180,"C45 , Lagos",automatic,Petrol,E,Nigerian used
Toyota,Venza,Crossover,2010,7514000,177734,"C45 , Port Harcourt",automatic,Petrol, ,Foreign used
Mercedes-Benz,E350,Sedan,2014,7850000,29333,"C45 , Ilorin",automatic,Petrol,C,Nigerian used
Honda,Cr-V,Suv,2014,4882000,59889,"C45 , Lagos",automatic,Petrol,D,Nigerian used
BMW,X3,Suv,2006,1480000,128248,"C45 , Lagos",automatic,Petrol,E,Nigerian used
Peugeot,206,Hatchback,2004,1074000,272592,"C45 , Kaduna",automatic,Petrol,C,Nigerian used
Toyota,Matrix,Hatchback,2006,1914000,121331,"C45 , Lagos",automatic,Petrol,D,Nigerian used
Ford,Escape,Suv,2008,1242000,111740,"C45 , Lagos",automatic,Petrol,E,Nigerian used
Toyota,Corolla,Sedan,2008,1242000,134300,"C45 , Lagos",manual,Petrol,D,Nigerian used
Mercedes-Benz,E320,Sedan,2003,1802000,40062,"C45 , Ilorin",automatic,Petrol,D,Nigerian used
Volkswagen,Passat,Sedan,2009,1802000,150826,"C45 , Lagos",automatic,Petrol,D,Nigerian used
Honda,Cr-V,Suv,2008,1522000,110041,C45,automatic,Petrol,E,Nigerian used
Toyota,Matrix,Hatchback,2008,3034000,11977,"C45 , Lagos",automatic,Petrol,D,Foreign used
Mercedes-Benz,Ml350,Suv,2010,4490000,39978,"C45 , Lagos",automatic,Petrol,C,Nigerian used
Toyota,Corolla,Sedan,2009,3034000,33952,"C45 , Abuja",automatic,Petrol,D,Nigerian used
Toyota,Corolla,Sedan,2014,3594000,96405,"C45 , Ibadan",manual,Petrol,D,Nigerian used
Toyota,Camry,,2000,1350000,0,"C45-Express, Lagos",,,,Nigerian used
Toyota,Corolla,Sedan,2006,2586000,96572,"C45 , Port Harcourt",automatic,Petrol,D,Foreign used
Mercedes-Benz,C300,Sedan,2008,3930000,164344,"C45 , Abuja",automatic,Petrol, ,Nigerian used
Toyota,Highlander,Suv,2017,17930000,174070,C45,automatic,Petrol, ,Foreign used
Lexus,Rx 350,Suv,2010,5162000,44033,"C45 , Abuja",automatic,Petrol, ,Nigerian used
Toyota,Camry,Sedan,2008,2586000,210696,"C45 , Benin",automatic,Petrol, ,Nigerian used
Ford,Edge,Suv,2010,3314000,167842,"C45 , Ibadan",automatic,Petrol,D,Foreign used
Hyundai,Sonata,Sedan,2014,7290000,127534,"C45 , Lagos",automatic,Petrol,C,Foreign used
Honda,Odyssey,Mpv,2008,2810000,187801,"C45 , Lagos",automatic,Petrol,C,Foreign used
Toyota,Camry,Sedan,2015,7850000,81428,"C45 , Ibadan",automatic,Petrol,C,Foreign used
Lexus,Rx 350,Suv,2007,2586000,220358,"C45 , Lagos",automatic,Petrol, ,Nigerian used
Toyota,Camry,Sedan,2015,7850000,90528,"C45 , Ibadan",automatic,Petrol,D,Foreign used
Mitsubishi,Fuso,Bus,2013,5050000,235764,"C45 , Lagos",manual,Diesel,D,Nigerian used
Toyota,Sienna,Mpv,2008,1914000,77822,"C45 , Lagos",automatic,Petrol,D,Nigerian used
Toyota,Venza,Suv,2014,11210000,35044,"C45 , Ibadan",automatic,Petrol,D,Foreign used
Toyota,Avalon,Sedan,2006,1858000,51200,"C45 , Lagos",automatic,Petrol,D,Nigerian used
Mercedes-Benz,Ml350,Suv,2012,8522000,48128,"C45 , Lagos",automatic,Petrol, ,Nigerian used
Toyota,Camry,Sedan,2009,2597200,117810,"C45 , Lagos",automatic,Petrol,E,Foreign used
Honda,Accord,Sedan,2008,1802000,162424,C45,automatic,Petrol,D,Nigerian used
