manufacturer,model,year,price,mileage,location,transmission,fuel_type,grade,car_condition,car_age
Toyota,Camry,2012,3482000,115316,Lagos,automatic,Petrol,D,Nigerian used,9
Toyota,Corolla,2004,1690000,237538,Abuja,automatic,Petrol,C,Nigerian used,17
Audi,A6,2008,1578000,187435,Akure,automatic,Petrol,C,Foreign used,13
Toyota,Fj Cruiser,2008,7626000,78628,Lagos,automatic,Petrol,C,Nigerian used,13
Kia,Cerato,2005,441200,259543,PortHarcourt,manual,Petrol,D,Nigerian used,16
Honda,Accord,2010,1662000,275562,Ibadan,automatic,Petrol,C,Nigerian used,11
Toyota,Avensis,2007,2250000,116173,Abuja,automatic,Petrol,C,Nigerian used,14
Toyota,Matrix,2006,1824400,169976,Lagos,automatic,Petrol,D,Nigerian used,15
Ford,Everest,2006,906000,125311,Lagos,manual,Diesel,E,Nigerian used,15
Toyota,Corolla,2016,5162000,42411,Ilorin,automatic,Petrol,B,Foreign used,5
Mercedes-Benz,CLS 350,2007,1802000,18154,Ibadan,automatic,Petrol,C,Nigerian used,14
Ford,Edge,2007,3298331,203998,Ibadan,automatic,Petrol,D,Foreign used,14
Toyota,Sienna,2013,4266000,118466,Lagos,automatic,Petrol,D,Nigerian used,8
Lexus,Rx 350,2007,2810000,188900,Abuja,automatic,Petrol,D,Nigerian used,14
Toyota,Camry,1999,906000,165174,Lagos,automatic,Petrol,D,Nigerian used,22
Kia,Optima,2010,1690000,176770,Abuja,automatic,Petrol,C,Nigerian used,11
Kia,Sedona,2005,514000,120893,Lagos,automatic,Petrol,D,Nigerian used,16
Nissan,Altima,2008,1555600,148011,Ibadan,automatic,Petrol,E,Nigerian used,13
Great Wall,Voleex,2012,3370000,74601,PortHarcourt,manual,Hybrid,D,Nigerian used,9
Lexus,Rx 330,2005,3146000,81131,PortHarcourt,automatic,Petrol,D,Nigerian used,16
Mercedes-Benz,E320,2003,1130000,79145,Abuja,automatic,Petrol,C,Nigerian used,18
Kia,Rio,2009,794000,194624,PortHarcourt,automatic,Petrol,C,Nigerian used,12
Ford,Explorer,2015,6170000,79590,Lagos,automatic,Petrol,C,Nigerian used,6
Honda,Pilot,2008,1690000,191513,Abuja,automatic,Petrol,C,Nigerian used,13
Toyota,Corolla,2009,2250000,165224,Abuja,automatic,Petrol,C,Nigerian used,12
Honda,Civic,2001,906000,214323,Lagos,automatic,Petrol,C,Nigerian used,20
Hyundai,I10,2014,1242000,100659,PortHarcourt,manual,Petrol,C,Nigerian used,7
Toyota,Corolla,2005,1802000,152317,Kaduna,automatic,Petrol,D,Nigerian used,16
Toyota,Rav4,2009,2810000,97533,Ilorin,automatic,Petrol,C,Nigerian used,12
Lexus,ES330,2006,1880400,98626,Ibadan,automatic,Petrol,E,Nigerian used,15
Nissan,Murano,2009,1074000,88723,Lagos,automatic,Petrol,E,Nigerian used,12
Peugeot,307,2007,906000,214171,Kaduna,manual,Petrol,E,Nigerian used,14
Mazda,Cx-7,2008,1410000,117747,Lagos,automatic,Petrol,E,Nigerian used,13
Toyota,Corolla,2006,1858000,215530,Kaduna,automatic,Petrol,D,Nigerian used,15
Toyota,Corolla,2006,1600000,147886,Lagos,automatic,Petrol,D,Nigerian used,15
Honda,Cr-V,2007,1802000,187053,Lagos,automatic,Petrol,D,Nigerian used,14
Kia,Soul,2010,794000,134157,Ibadan,automatic,Petrol,D,Nigerian used,11
Lexus,Gs 330,2006,2810000,161163,Abuja,automatic,Petrol,D,Nigerian used,15
Ford,Edge,2007,2810000,302710,Lagos,automatic,Petrol,E,Nigerian used,14
Honda,Pilot,2009,2698000,119126,Lagos,automatic,Petrol,D,Nigerian used,12
Honda,Accord,2005,1354000,180298,Lagos,automatic,Petrol,C,Nigerian used,16
Honda,Civic,2009,1040400,138540,PortHarcourt,automatic,Petrol,D,Nigerian used,12
Toyota,Land Cruiser,2010,4490000,137374,Lagos,automatic,Petrol,E,Nigerian used,11
Toyota,Camry,2003,1107600,61081,Lagos,automatic,Petrol,E,Nigerian used,18
Nissan,Altima,2016,5162000,115723,Lagos,automatic,Petrol,C,Nigerian used,5
Lexus,GX470,2006,3200000,107154,Lagos,automatic,Petrol,D,Nigerian used,15
